pos,player,team,side,season
QB,Peyton Manning,IND,offense,2000
TE,Frank Wycheck,TEN,offense,2000
WR,Derrick Mason,TEN,offense,2000
WR,Randy Moss,MIN,offense,2000
QB,Rich Gannon,LV,offense,2000
RB,Marshall Faulk,LAR,offense,2000
WR,Marvin Harrison,IND,offense,2000
RB,Eddie George,TEN,offense,2000
WR,Az-Zahir Hakim,LAR,offense,2000
RB,Edgerrin James,IND,offense,2000
RB,Michael Bates,CAR,offense,2000
TE,Chad Lewis,PHI,offense,2000
RB,Robert Smith,MIN,offense,2000
WR,Rod Smith,DEN,offense,2000
QB,Daunte Culpepper,MIN,offense,2000
WR,Desmond Howard,DET,offense,2000
TE,Ernie Conwell,LAR,offense,2001
WR,Steve Smith Sr.,CAR,offense,2001
QB,Kurt Warner,LAR,offense,2001
RB,Marshall Faulk,LAR,offense,2001
WR,David Boston,ARI,offense,2001
RB,Curtis Martin,NYJ,offense,2001
WR,Jermaine Lewis,BAL,offense,2001
WR,Marvin Harrison,IND,offense,2001
WR,Rod Smith,DEN,offense,2001
QB,Rich Gannon,LV,offense,2001
TE,Wesley Walls,CAR,offense,2001
WR,Eric Moulds,BUF,offense,2002
WR,Jerry Rice,LV,offense,2002
RB,Ricky Williams,MIA,offense,2002
QB,Rich Gannon,LV,offense,2002
WR,Michael Lewis,NO,offense,2002
WR,Marvin Harrison,IND,offense,2002
WR,Santana Moss,NYJ,offense,2002
TE,Jeremy Shockey,NYG,offense,2002
RB,Fred Mcafee,NO,offense,2002
WR,Hines Ward,PIT,offense,2002
RB,Tiki Barber,NYG,offense,2002
WR,Randy Moss,MIN,offense,2002
RB,Chad Morton,NYJ,offense,2002
RB,Deuce Mcallister,NO,offense,2002
QB,Steve Mcnair,TEN,offense,2003
WR,Hines Ward,PIT,offense,2003
TE,Todd Heap,BAL,offense,2003
WR,Torry Holt,LAR,offense,2003
QB,Peyton Manning,IND,offense,2003
RB,Jamal Lewis,BAL,offense,2003
WR,Randy Moss,MIN,offense,2003
WR,Marvin Harrison,IND,offense,2003
WR,Alex Bannister,SEA,offense,2003
WR,Chad Johnson,CIN,offense,2003
RB,Brian Westbrook,PHI,offense,2003
TE,Alge Crumpler,ATL,offense,2003
RB,Deuce Mcallister,NO,offense,2003
WR,Hines Ward,PIT,offense,2004
RB,Curtis Martin,NYJ,offense,2004
WR,Terrell Owens,PHI,offense,2004
QB,Peyton Manning,IND,offense,2004
WR,Eddie Drummond,DET,offense,2004
WR,Muhsin Muhammad,CAR,offense,2004
RB,Shaun Alexander,SEA,offense,2004
WR,Marvin Harrison,IND,offense,2004
RB,Edgerrin James,IND,offense,2004
RB,Tiki Barber,NYG,offense,2004
QB,Daunte Culpepper,MIN,offense,2004
WR,Chad Johnson,CIN,offense,2004
RB,B.J. Sams,BAL,offense,2004
TE,Jason Witten,DAL,offense,2004
WR,Chad Johnson,CIN,offense,2005
QB,Peyton Manning,IND,offense,2005
WR,Jerome Mathis,HOU,offense,2005
RB,Shaun Alexander,SEA,offense,2005
WR,Steve Smith Sr.,CAR,offense,2005
RB,Tiki Barber,NYG,offense,2005
WR,Antwaan Randle El,PIT,offense,2005
WR,David Tyree,NYG,offense,2005
RB,B.J. Sams,BAL,offense,2005
WR,Santana Moss,WAS,offense,2005
WR,Marvin Harrison,IND,offense,2005
RB,Edgerrin James,IND,offense,2005
TE,Chris Cooley,WAS,offense,2005
QB,Matt Hasselbeck,SEA,offense,2005
RB,Reno Mahe,PHI,offense,2005
WR,Koren Robinson,MIN,offense,2005
QB,Drew Brees,NO,offense,2006
QB,Peyton Manning,IND,offense,2006
RB,Steven Jackson,LAR,offense,2006
WR,Chad Johnson,CIN,offense,2006
WR,Marvin Harrison,IND,offense,2006
WR,Torry Holt,LAR,offense,2006
WR,Andre Johnson,HOU,offense,2006
TE,Alge Crumpler,ATL,offense,2006
RB,Brian Westbrook,PHI,offense,2007
RB,Adrian Peterson,MIN,offense,2007
RB,Willie Parker,PIT,offense,2007
RB,Fred Taylor,JAX,offense,2007
WR,Terrell Owens,DAL,offense,2007
WR,Braylon Edwards,CLE,offense,2007
WR,Reggie Wayne,IND,offense,2007
WR,Larry Fitzgerald,ARI,offense,2007
